"","Country","Unit","Period","Value"
"1","France","PC",2019 Q2,0.295410269993258
"2","France","PC",2019 Q3,0.138151726036354
"3","France","PC",2019 Q4,-0.178164000219909
"4","France","PC",2020 Q1,-5.89438065716484
"5","France","PC",2020 Q2,-13.7891302280326
"6","France","PC",2020 Q3,18.667076818635
"7","Germany","PC",2019 Q2,-0.503593061660945
"8","Germany","PC",2019 Q3,0.309311451763778
"9","Germany","PC",2019 Q4,-0.0186902521436554
"10","Germany","PC",2020 Q1,-1.89719348849871
"11","Germany","PC",2020 Q2,-9.79328107686389
"12","Germany","PC",2020 Q3,8.480305474188
"13","Japan","PC",2019 Q2,0.077576527917786
"14","Japan","PC",2019 Q3,0.179240980835027
"15","Japan","PC",2019 Q4,-1.8617153523726
"16","Japan","PC",2020 Q1,-0.538012646641676
"17","Japan","PC",2020 Q2,-8.26177742798216
"18","Japan","PC",2020 Q3,5.29547088396872
"19","Great Britain","PC",2019 Q2,0.138397435305217
"20","Great Britain","PC",2019 Q3,0.49728385220612
"21","Great Britain","PC",2019 Q4,0.0172591386221147
"22","Great Britain","PC",2020 Q1,-3.01909375785936
"23","Great Britain","PC",2020 Q2,-18.7526855667469
"24","Great Britain","PC",2020 Q3,16.0034854002269
"25","United States","PC",2019 Q2,0.370716166833257
"26","United States","PC",2019 Q3,0.636914747006643
"27","United States","PC",2019 Q4,0.586231850138638
"28","United States","PC",2020 Q1,-1.26265460521651
"29","United States","PC",2020 Q2,-8.98611676869965
"30","United States","PC",2020 Q3,7.4787410913942
"31","Brazil","PC",2019 Q2,0.196867523444487
"32","Brazil","PC",2019 Q3,-0.156076473203377
"33","Brazil","PC",2019 Q4,0.220281720089261
"34","Brazil","PC",2020 Q1,-1.54587916819906
"35","Brazil","PC",2020 Q2,-9.59981780606082
"36","Brazil","PC",2020 Q3,7.7077890517621
"37","India","PC",2019 Q2,0.905479988950468
"38","India","PC",2019 Q3,0.836469227585949
"39","India","PC",2019 Q4,0.860955203202852
"40","India","PC",2020 Q1,0.658939586878149
"41","India","PC",2020 Q2,-25.2480979854535
"42","India","PC",2020 Q3,21.9401480359037
"43","Russia","PC",2019 Q2,2.37118293044742
"44","Russia","PC",2019 Q3,-0.878903265941295
"45","Russia","PC",2019 Q4,-0.705263375927254
"46","Russia","PC",2020 Q1,-0.87954645900614
"47","Russia","PC",2020 Q2,-3.23763644760209
"48","Russia","PC",2020 Q3,1.5021019430064
"49","France","PC",2019 Q2,1.82310918334099
"50","France","PC",2019 Q3,1.59004988323343
"51","France","PC",2019 Q4,0.781256775719996
"52","France","PC",2020 Q1,-5.65438033727155
"53","France","PC",2020 Q2,-18.9033884162444
"54","France","PC",2020 Q3,-3.89778849854308
"55","Germany","PC",2019 Q2,0.114937049986821
"56","Germany","PC",2019 Q3,0.755513226147959
"57","Germany","PC",2019 Q4,0.39641675300275
"58","Germany","PC",2020 Q1,-2.10761707278918
"59","Germany","PC",2020 Q2,-11.2475420654791
"60","Germany","PC",2020 Q3,-4.01794600143713
"61","Japan","PC",2019 Q2,0.45141221338322
"62","Japan","PC",2019 Q3,1.29333507749249
"63","Japan","PC",2019 Q4,-1.04142637230436
"64","Japan","PC",2020 Q1,-2.13889569830441
"65","Japan","PC",2020 Q2,-10.2935534708117
"66","Japan","PC",2020 Q3,-5.71217713233162
"67","Great Britain","PC",2019 Q2,1.4610401767327
"68","Great Britain","PC",2019 Q3,1.36099872330762
"69","Great Britain","PC",2019 Q4,1.20972386858956
"70","Great Britain","PC",2020 Q1,-2.38509224955883
"71","Great Britain","PC",2020 Q2,-20.8001195695496
"72","Great Britain","PC",2020 Q3,-8.57999518947412
"73","United States","PC",2019 Q2,1.96316329518912
"74","United States","PC",2019 Q3,2.07648052737908
"75","United States","PC",2019 Q4,2.33888487797042
"76","United States","PC",2020 Q1,0.319260644673168
"77","United States","PC",2020 Q2,-9.03277546621955
"78","United States","PC",2020 Q3,-2.84834547991028
"79","Brazil","PC",2019 Q2,1.80019021039493
"80","Brazil","PC",2019 Q3,0.819534159380799
"81","Brazil","PC",2019 Q4,1.54613737906997
"82","Brazil","PC",2020 Q1,-1.28905698160719
"83","Brazil","PC",2020 Q2,-10.9404569827465
"84","Brazil","PC",2020 Q3,-3.92598634433453
"85","India","PC",2019 Q2,4.98024013245284
"86","India","PC",2019 Q3,4.39893527941587
"87","India","PC",2019 Q4,4.07719399047113
"88","India","PC",2020 Q1,3.30178140941106
"89","India","PC",2020 Q2,-23.4728912375226
"90","India","PC",2020 Q3,-7.45682546465732
"91","Russia","PC",2019 Q2,2.70491794360873
"92","Russia","PC",2019 Q3,1.42982139668937
"93","Russia","PC",2019 Q4,0.28363820428196
"94","Russia","PC",2020 Q1,-0.130395694577852
"95","Russia","PC",2020 Q2,-5.60215596804234
"96","Russia","PC",2020 Q3,-3.33460883873083
"97","OECD","PC",2019 Q2,1.5133662407785
"98","OECD","PC",2019 Q3,1.71514225177989
"99","OECD","PC",2019 Q4,1.62283543427481
"100","OECD","PC",2020 Q1,-0.879949989758803
"101","OECD","PC",2020 Q2,-11.6312751628614
"102","OECD","PC",2020 Q3,-3.87837061908504
"103","OECD","PC",2019 Q2,0.401891526551506
"104","OECD","PC",2019 Q3,0.416742806692216
"105","OECD","PC",2019 Q4,0.191080691261525
"106","OECD","PC",2020 Q1,-1.87392525748406
"107","OECD","PC",2020 Q2,-10.4884720647199
"108","OECD","PC",2020 Q3,9.22666309254025
