"","Sector","Measure","Period","value"
"1","Agriculture, forestry and fishing ","Quarter on Quarter Growth (%)",2019 Q4,-2.4
"2","Agriculture, forestry and fishing ","Quarter on Quarter Growth (%)",2020 Q1,6.94
"3","Agriculture, forestry and fishing ","Quarter on Quarter Growth (%)",2020 Q2,3.11
"4","Agriculture, forestry and fishing ","Quarter on Quarter Growth (%)",2020 Q3,2.44
"5","Mining and quarrying ","Quarter on Quarter Growth (%)",2019 Q4,-8.39
"6","Mining and quarrying ","Quarter on Quarter Growth (%)",2020 Q1,-19.1
"7","Mining and quarrying ","Quarter on Quarter Growth (%)",2020 Q2,-44.38
"8","Mining and quarrying ","Quarter on Quarter Growth (%)",2020 Q3,-22.96
"9","Manufacturing ","Quarter on Quarter Growth (%)",2019 Q4,-0.38
"10","Manufacturing ","Quarter on Quarter Growth (%)",2020 Q1,-2.07
"11","Manufacturing ","Quarter on Quarter Growth (%)",2020 Q2,-29.07
"12","Manufacturing ","Quarter on Quarter Growth (%)",2020 Q3,33.05
"13","Electricity and water ","Quarter on Quarter Growth (%)",2019 Q4,-1.11
"14","Electricity and water ","Quarter on Quarter Growth (%)",2020 Q1,-1.57
"15","Electricity and water ","Quarter on Quarter Growth (%)",2020 Q2,-10.85
"16","Electricity and water ","Quarter on Quarter Growth (%)",2020 Q3,11.88
"17","Construction ","Quarter on Quarter Growth (%)",2019 Q4,-2.56
"18","Construction ","Quarter on Quarter Growth (%)",2020 Q1,-2.72
"19","Construction ","Quarter on Quarter Growth (%)",2020 Q2,-31.97
"20","Construction ","Quarter on Quarter Growth (%)",2020 Q3,10.5
"21","Wholesale and retail trade, and hotels","Quarter on Quarter Growth (%)",2019 Q4,-1.43
"22","Wholesale and retail trade, and hotels","Quarter on Quarter Growth (%)",2020 Q1,-0.88
"23","Wholesale and retail trade, and hotels","Quarter on Quarter Growth (%)",2020 Q2,-25.32
"24","Wholesale and retail trade, and hotels","Quarter on Quarter Growth (%)",2020 Q3,22.32
"25","Transport and communication ","Quarter on Quarter Growth (%)",2019 Q4,-2.27
"26","Transport and communication ","Quarter on Quarter Growth (%)",2020 Q1,-0.47
"27","Transport and communication ","Quarter on Quarter Growth (%)",2020 Q2,-26.25
"28","Transport and communication ","Quarter on Quarter Growth (%)",2020 Q3,14.28
"29","Finance, real estate and business services ","Quarter on Quarter Growth (%)",2019 Q4,0.51
"30","Finance, real estate and business services ","Quarter on Quarter Growth (%)",2020 Q1,0.66
"31","Finance, real estate and business services ","Quarter on Quarter Growth (%)",2020 Q2,-10.25
"32","Finance, real estate and business services ","Quarter on Quarter Growth (%)",2020 Q3,3.4
"33","Community, social and other personal services ","Quarter on Quarter Growth (%)",2019 Q4,0.08
"34","Community, social and other personal services ","Quarter on Quarter Growth (%)",2020 Q1,0
"35","Community, social and other personal services ","Quarter on Quarter Growth (%)",2020 Q2,-9.58
"36","Community, social and other personal services ","Quarter on Quarter Growth (%)",2020 Q3,8.28
"37","General government services ","Quarter on Quarter Growth (%)",2019 Q4,-0.09
"38","General government services ","Quarter on Quarter Growth (%)",2020 Q1,0.3
"39","General government services ","Quarter on Quarter Growth (%)",2020 Q2,-0.24
"40","General government services ","Quarter on Quarter Growth (%)",2020 Q3,0.24
