"","Period","category","value"
"1",Nov 2019,"All Items",3.57
"2",Nov 2019,"Food and alcohol beverages",3.73
"3",Nov 2019,"Electricity and Other Fuels",11.64
"4",Nov 2019,"Water and Other Services",7.06
"5",Nov 2019,"Transport",0.09
"6",Dec 2019,"All Items",4.03
"7",Dec 2019,"Food and alcohol beverages",4.01
"8",Dec 2019,"Electricity and Other Fuels",11.64
"9",Dec 2019,"Water and Other Services",7.14
"10",Dec 2019,"Transport",3.28
"11",Jan 2020,"All Items",4.4
"12",Jan 2020,"Food and alcohol beverages",3.78
"13",Jan 2020,"Electricity and Other Fuels",11.74
"14",Jan 2020,"Water and Other Services",7.14
"15",Jan 2020,"Transport",6.22
"16",Feb 2020,"All Items",4.55
"17",Feb 2020,"Food and alcohol beverages",4.14
"18",Feb 2020,"Electricity and Other Fuels",11.74
"19",Feb 2020,"Water and Other Services",7.23
"20",Feb 2020,"Transport",5.92
"21",Mar 2020,"All Items",4.06
"22",Mar 2020,"Food and alcohol beverages",4.13
"23",Mar 2020,"Electricity and Other Fuels",11.65
"24",Mar 2020,"Water and Other Services",7.3
"25",Mar 2020,"Transport",3.31
"26",Apr 2020,"All Items",2.87
"27",Apr 2020,"Food and alcohol beverages",4.3
"28",Apr 2020,"Electricity and Other Fuels",11.18
"29",Apr 2020,"Water and Other Services",7.21
"30",Apr 2020,"Transport",-3.14
"31",May 2020,"All Items",2.06
"32",May 2020,"Food and alcohol beverages",4.2
"33",May 2020,"Electricity and Other Fuels",11.36
"34",May 2020,"Water and Other Services",6.95
"35",May 2020,"Transport",-7.69
"36",Jun 2020,"All Items",2.14
"37",Jun 2020,"Food and alcohol beverages",4.09
"38",Jun 2020,"Electricity and Other Fuels",11.36
"39",Jun 2020,"Water and Other Services",6.95
"40",Jun 2020,"Transport",-5.5
"41",Jul 2020,"All Items",3.2
"42",Jul 2020,"Food and alcohol beverages",4.18
"43",Jul 2020,"Electricity and Other Fuels",7.25
"44",Jul 2020,"Water and Other Services",5.82
"45",Jul 2020,"Transport",0.35
"46",Aug 2020,"All Items",3.01
"47",Aug 2020,"Food and alcohol beverages",3.71
"48",Aug 2020,"Electricity and Other Fuels",6.03
"49",Aug 2020,"Water and Other Services",6.21
"50",Aug 2020,"Transport",0.52
"51",Sep 2020,"All Items",2.92
"52",Sep 2020,"Food and alcohol beverages",3.61
"53",Sep 2020,"Electricity and Other Fuels",6.03
"54",Sep 2020,"Water and Other Services",6.12
"55",Sep 2020,"Transport",0.43
"56",Oct 2020,"All Items",3.27
"57",Oct 2020,"Food and alcohol beverages",5.24
"58",Oct 2020,"Electricity and Other Fuels",5.86
"59",Oct 2020,"Water and Other Services",6.12
"60",Oct 2020,"Transport",-0.17
"61",Nov 2020,"All Items",3.18
"62",Nov 2020,"Food and alcohol beverages",5.49
"63",Nov 2020,"Electricity and Other Fuels",5.86
"64",Nov 2020,"Water and Other Services",6.12
"65",Nov 2020,"Transport",-1.04
