"","Period","province","value"
"1",2019 Q2,"Western Cape",20.4
"2",2019 Q2,"Eastern Cape",35.4
"3",2019 Q2,"Northen Cape",29.4
"4",2019 Q2,"Free State",34.4
"5",2019 Q2,"KwaZulu Natal",26.1
"6",2019 Q2,"North West",33
"7",2019 Q2,"Gauteng",31.1
"8",2019 Q2,"Mpumalanga",34.7
"9",2019 Q2,"Limpopo",20.3
"10",2019 Q3,"Western Cape",21.5
"11",2019 Q3,"Eastern Cape",36.5
"12",2019 Q3,"Northen Cape",29.8
"13",2019 Q3,"Free State",34.5
"14",2019 Q3,"KwaZulu Natal",25.9
"15",2019 Q3,"North West",30.4
"16",2019 Q3,"Gauteng",31
"17",2019 Q3,"Mpumalanga",35.3
"18",2019 Q3,"Limpopo",21.4
"19",2019 Q4,"Western Cape",20.9
"20",2019 Q4,"Eastern Cape",39.5
"21",2019 Q4,"Northen Cape",26.9
"22",2019 Q4,"Free State",35
"23",2019 Q4,"KwaZulu Natal",25
"24",2019 Q4,"North West",28.8
"25",2019 Q4,"Gauteng",30.8
"26",2019 Q4,"Mpumalanga",33.6
"27",2019 Q4,"Limpopo",23.1
"28",2020 Q1,"Western Cape",20.9
"29",2020 Q1,"Eastern Cape",40.5
"30",2020 Q1,"Northen Cape",27
"31",2020 Q1,"Free State",38.4
"32",2020 Q1,"KwaZulu Natal",26.9
"33",2020 Q1,"North West",33.2
"34",2020 Q1,"Gauteng",31.4
"35",2020 Q1,"Mpumalanga",33.3
"36",2020 Q1,"Limpopo",23.6
"37",2020 Q2,"Western Cape",16.6
"38",2020 Q2,"Eastern Cape",36.9
"39",2020 Q2,"Northen Cape",25.1
"40",2020 Q2,"Free State",25.3
"41",2020 Q2,"KwaZulu Natal",18.9
"42",2020 Q2,"North West",21.6
"43",2020 Q2,"Gauteng",26.4
"44",2020 Q2,"Mpumalanga",13.3
"45",2020 Q2,"Limpopo",21.9
"46",2020 Q3,"Western Cape",21.6
"47",2020 Q3,"Eastern Cape",45.8
"48",2020 Q3,"Northen Cape",23.1
"49",2020 Q3,"Free State",35.5
"50",2020 Q3,"KwaZulu Natal",26.4
"51",2020 Q3,"North West",28.3
"52",2020 Q3,"Gauteng",33.7
"53",2020 Q3,"Mpumalanga",27.8
"54",2020 Q3,"Limpopo",26.3
